LocationID,lat,lon
224,40.7128,-74.006
225,40.6812872,-73.9437748
226,40.7398242,-73.9354153
227,40.7128,-74.006
228,40.7128,-74.006
229,40.7128,-74.006
230,40.7595077,-73.9841594
231,40.7183969,-74.0041959
232,40.7128,-74.006
233,40.7128,-74.006
234,40.7360717,-73.9901888
235,40.8578781,-73.9095809
236,40.7128,-74.006
237,40.7128,-74.006
238,40.7128,-74.006
239,40.7128,-74.006
240,40.8970755,-73.8865797
241,40.7128,-74.006
242,40.8453632,-73.8584683
243,40.7128,-74.006
244,40.7128,-74.006
245,40.6345481,-74.1120867
246,40.7128,-74.006
247,40.8224217,-73.9237771
248,40.7128,-74.006
249,40.7341857,-74.0055800
250,40.7128,-74.006
251,40.6212150,-74.1318094
252,40.7945457,-73.8184674
253,40.7967080,-73.7793960
254,40.7128,-74.006
255,40.7128,-74.006
256,40.7128,-74.006
257,40.6534870,-73.9771960
258,40.6892698,-73.8579131
259,40.7128,-74.006
260,40.7453798,-73.9054145
261,40.7119004,-74.0125270
262,40.7821370,-73.9457982
263,40.7128,-74.006
264,40.7128,-74.006
265,40.7293829,-73.9832465
